ANYO_ACADEMICO;COD_EOI;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_NIVEL;DESC_NIVEL;CURSO;IDIOMA;NUM_GRUPOS;MUJERES;HOMBRES;OTROS;TOTAL_MATRICULACIONES
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;1;Alemán;6;89;62;0;151
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;1;Chino;3;38;22;0;60
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;1;Español Como Lengua Extranjera;3;72;31;0;103
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;1;Francés;9;152;70;0;222
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;1;Inglés;14;312;153;0;465
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;1;Italiano;4;82;28;0;110
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;1;Japonés;2;29;31;0;60
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;1;Portugués;3;23;20;0;43
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;1;Ruso;3;24;38;0;62
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;1;Valenciano;3;52;37;0;89
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;1;Árabe;3;21;15;0;36
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;2;Alemán;4;39;18;0;57
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;2;Chino;2;15;12;0;27
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;2;Español Como Lengua Extranjera;4;105;35;0;140
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;2;Francés;7;62;32;0;94
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;2;Inglés;9;158;69;0;227
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;2;Italiano;3;39;26;0;65
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;2;Japonés;1;10;11;0;21
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;2;Portugués;1;6;10;0;16
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;2;Ruso;2;11;16;0;27
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;2;Árabe;1;3;7;0;10
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;3;Chino;1;1;4;0;5
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;3;Japonés;1;4;2;0;6
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;A2;NIVEL BÁSICO;3;Árabe;1;8;0;0;8
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;B1;NIVEL INTERMEDIO;1;Alemán;4;37;17;0;54
2024;03011136;03;Alicante/Alacant;03014;Alacant/Alicante;B1;NIVEL INTERMEDIO;1;Chino;1;3;3;0;6
